CNES - Recursos Físicos - Ambulatório - Consultórios - Brasil
Clin.Especializada por Município
Período:Jul/2024
"Município";"Clin.Especializada"
"311550 CAXAMBU";26
"311570 CENTRAL DE MINAS";2
"311615 CHAPADA GAUCHA";3
"311620 CHIADOR";2
"311630 CIPOTANEA";2
"311650 CLARO DOS POCOES";4
"311660 CLAUDIO";12
"311670 COIMBRA";5
"311680 COLUNA";2
"311690 COMENDADOR GOMES";1
"311710 CONCEICAO DA APARECIDA";4
"311730 CONCEICAO DAS ALAGOAS";2
"311750 CONCEICAO DO MATO DENTRO";37
"311770 CONCEICAO DO RIO VERDE";9
"311780 CONCEICAO DOS OUROS";2
"311787 CONFINS";9
"311790 CONGONHAL";3
"311800 CONGONHAS";91
"311820 CONQUISTA";2
"311830 CONSELHEIRO LAFAIETE";204
"311840 CONSELHEIRO PENA";13
"311850 CONSOLACAO";1
"311860 CONTAGEM";310
"311870 COQUEIRAL";10
"311880 CORACAO DE JESUS";26
"311910 CORINTO";2
"311920 COROACI";1
"311930 COROMANDEL";20
"311940 CORONEL FABRICIANO";73
"311950 CORONEL MURTA";3
"311980 CORREGO DANTA";1
"311995 CORREGO FUNDO";2
"312020 CRISTAIS";2
"312050 CRISTINA";4
"312060 CRUCILANDIA";2
"312080 CRUZILIA";10
"312087 CURRAL DE DENTRO";4
"312090 CURVELO";101
"312110 DELFIM MOREIRA";1
"312120 DELFINOPOLIS";1
"312140 DESTERRO DE ENTRE RIOS";3
"312150 DESTERRO DO MELO";1
"312160 DIAMANTINA";79
"312180 DIONISIO";1
"312190 DIVINESIA";1
"312200 DIVINO";8
"312210 DIVINO DAS LARANJEIRAS";1
"312220 DIVINOLANDIA DE MINAS";4
"312230 DIVINOPOLIS";356
"312235 DIVISA ALEGRE";2
"312240 DIVISA NOVA";6
"312245 DIVISOPOLIS";5
"312250 DOM CAVATI";6
"312270 DOM SILVERIO";1
"312280 DOM VICOSO";1
"312290 DONA EUSEBIA";1
"312300 DORES DE CAMPOS";2
"312320 DORES DO INDAIA";5
"312352 DURANDE";1
"312360 ELOI MENDES";28
"312370 ENGENHEIRO CALDAS";5
"312380 ENGENHEIRO NAVARRO";1
"312385 ENTRE FOLHAS";1
"312390 ENTRE RIOS DE MINAS";7
"312400 ERVALIA";5
"312410 ESMERALDAS";7
"312420 ESPERA FELIZ";9
"312430 ESPINOSA";15
"312450 ESTIVA";2
"312470 ESTRELA DO INDAIA";1
"312490 EUGENOPOLIS";5
"312500 EWBANK DA CAMARA";3
"312510 EXTREMA";144
"312520 FAMA";1
"312560 FELISBURGO";3
"312570 FELIXLANDIA";9
"312595 FERVEDOURO";5
"312600 FLORESTAL";1
"312610 FORMIGA";96
"312650 FRANCISCO BADARO";1
"312670 FRANCISCO SA";8
"312675 FRANCISCOPOLIS";2
"312690 FREI INOCENCIO";1
"312700 FRONTEIRA";7
"312710 FRUTAL";73
"312735 GLAUCILANDIA";1
"312737 GOIABEIRA";3
"312740 GONCALVES";1
"312760 GOUVEIA";1
"312770 GOVERNADOR VALADARES";390
"312780 GRAO MOGOL";3
"312800 GUANHAES";32
"312810 GUAPE";5
"312830 GUARANESIA";1
"312840 GUARANI";1
"312850 GUARARA";5
"312860 GUARDA-MOR";1
"312870 GUAXUPE";76
"312880 GUIDOVAL";5
"312890 GUIMARANIA";1
"312900 GUIRICEMA";6
"312910 GURINHATA";2
"312920 HELIODORA";1
"312950 IBIA";32
"312960 IBIAI";1
"312970 IBIRACI";4
"312980 IBIRITE";36
"312990 IBITIURA DE MINAS";1
"313000 IBITURUNA";1
"313010 IGARAPE";52
"313030 IGUATAMA";4
"313040 IJACI";2
"313050 ILICINEA";3
"313055 IMBE DE MINAS";1
"313070 INDIANOPOLIS";4
"313090 INHAPIM";27
"313100 INHAUMA";1
"313110 INIMUTABA";1
"313115 IPABA";12
"313120 IPANEMA";18
"313130 IPATINGA";435
"313150 IPUIUNA";12
"313170 ITABIRA";223
"313180 ITABIRINHA";2
"313190 ITABIRITO";44
"313200 ITACAMBIRA";1
"313210 ITACARAMBI";11
"313220 ITAGUARA";12
"313240 ITAJUBA";275
"313250 ITAMARANDIBA";14
"313260 ITAMARATI DE MINAS";1
"313270 ITAMBACURI";5
"313280 ITAMBE DO MATO DENTRO";1
"313290 ITAMOGI";4
"313300 ITAMONTE";12
"313310 ITANHANDU";34
"313330 ITAOBIM";16
"313340 ITAPAGIPE";3
"313350 ITAPECERICA";1
"313360 ITAPEVA";10
"313370 ITATIAIUCU";1
"313375 ITAU DE MINAS";24
"313380 ITAUNA";78
"313390 ITAVERAVA";1
"313400 ITINGA";3
"313410 ITUETA";1
"313420 ITUIUTABA";159
"313440 ITURAMA";66
"313450 ITUTINGA";1
"313460 JABOTICATUBAS";8
"313470 JACINTO";8
"313480 JACUI";2
"313490 JACUTINGA";13
"313505 JAIBA";19
"313510 JANAUBA";58
"313520 JANUARIA";68
"313535 JAPONVAR";3
"313540 JECEABA";2
"313550 JEQUERI";5
"313560 JEQUITAI";4
"313570 JEQUITIBA";1
"313580 JEQUITINHONHA";35
"313600 JOAIMA";6
"313620 JOAO MONLEVADE";110
"313630 JOAO PINHEIRO";18
"313640 JOAQUIM FELICIO";1
"313650 JORDANIA";4
"313665 JUATUBA";15
"313670 JUIZ DE FORA";1238
"313680 JURAMENTO";2
"313690 JURUAIA";15
"313695 JUVENILIA";1
"313700 LADAINHA";1
"313710 LAGAMAR";5
"313720 LAGOA DA PRATA";72
"313730 LAGOA DOS PATOS";1
"313740 LAGOA DOURADA";2
"313750 LAGOA FORMOSA";20
"313753 LAGOA GRANDE";11
"313760 LAGOA SANTA";141
"313770 LAJINHA";6
"313780 LAMBARI";20
"313800 LARANJAL";4
"313810 LASSANCE";4
"313820 LAVRAS";231
"313840 LEOPOLDINA";52
"313850 LIBERDADE";7
"313860 LIMA DUARTE";17
"313862 LIMEIRA DO OESTE";1
"313865 LONTRA";1
"313870 LUMINARIAS";1
"313880 LUZ";2
"313890 MACHACALIS";1
"313900 MACHADO";45
"313910 MADRE DE DEUS DE MINAS";1
"313920 MALACACHETA";2
"313930 MANGA";1
"313940 MANHUACU";403
"313950 MANHUMIRIM";31
"313960 MANTENA";23
"313970 MARAVILHAS";1
"313980 MAR DE ESPANHA";13
"313990 MARIA DA FE";9
"314000 MARIANA";22
"314015 MARIO CAMPOS";8
"314020 MARIPA DE MINAS";1
"314040 MARMELOPOLIS";1
"314050 MARTINHO CAMPOS";5
"314053 MARTINS SOARES";2
"314055 MATA VERDE";3
"314070 MATEUS LEME";30
"314080 MATIAS BARBOSA";7
"314090 MATIPO";8
"314100 MATO VERDE";15
"314110 MATOZINHOS";10
"314120 MATUTINA";3
"314140 MEDINA";13
"314150 MENDES PIMENTEL";1
"314160 MERCES";3
"314170 MESQUITA";1
"314180 MINAS NOVAS";3
"314190 MINDURI";1
"314200 MIRABELA";5
"314210 MIRADOURO";1
"314220 MIRAI";7
"314225 MIRAVANIA";1
"314230 MOEDA";1
"314240 MOEMA";1
"314260 MONSENHOR PAULO";8
"314280 MONTE ALEGRE DE MINAS";12
"314290 MONTE AZUL";9
"314300 MONTE BELO";11
"314310 MONTE CARMELO";30
"314315 MONTE FORMOSO";1
"314320 MONTE SANTO DE MINAS";29
"314330 MONTES CLAROS";633
"314340 MONTE SIAO";1
"314345 MONTEZUMA";1
"314350 MORADA NOVA DE MINAS";5
"314390 MURIAE";212
"314400 MUTUM";13
"314410 MUZAMBINHO";26
"314430 NANUQUE";14
"314440 NATERCIA";1
"314460 NEPOMUCENO";13
"314467 NOVA BELEM";4
"314470 NOVA ERA";11
"314480 NOVA LIMA";294
"314500 NOVA PONTE";10
"314505 NOVA PORTEIRINHA";4
"314510 NOVA RESENDE";4
"314520 NOVA SERRANA";31
"314530 NOVO CRUZEIRO";1
"314535 NOVO ORIENTE DE MINAS";1
"314550 OLIMPIO NORONHA";1
"314560 OLIVEIRA";57
"314570 OLIVEIRA FORTES";2
"314590 OURO BRANCO";72
"314600 OURO FINO";24
"314610 OURO PRETO";51
"314630 PADRE PARAISO";1
"314640 PAINEIRAS";1
"314670 PALMA";4
"314675 PALMOPOLIS";4
"314690 PAPAGAIOS";10
"314700 PARACATU";77
"314710 PARA DE MINAS";59
"314720 PARAGUACU";21
"314730 PARAISOPOLIS";26
"314740 PARAOPEBA";4
"314760 PASSA QUATRO";11
"314770 PASSA TEMPO";4
"314790 PASSOS";193
"314800 PATOS DE MINAS";303
"314810 PATROCINIO";105
"314820 PATROCINIO DO MURIAE";1
"314850 PAVAO";1
"314860 PECANHA";5
"314870 PEDRA AZUL";17
"314910 PEDRALVA";2
"314915 PEDRAS DE MARIA DA CRUZ";4
"314920 PEDRINOPOLIS";1
"314930 PEDRO LEOPOLDO";69
"314950 PEQUERI";2
"314960 PEQUI";1
"314980 PERDIZES";8
"314990 PERDOES";9
"314995 PERIQUITO";1
"315010 PIAU";1
"315015 PIEDADE DE CARATINGA";1
"315030 PIEDADE DO RIO GRANDE";4
"315040 PIEDADE DOS GERAIS";2
"315050 PIMENTA";1
"315053 PINGO-D'AGUA";2
"315060 PIRACEMA";3
"315080 PIRANGA";7
"315090 PIRANGUCU";5
"315100 PIRANGUINHO";4
"315110 PIRAPETINGA";10
"315120 PIRAPORA";43
"315130 PIRAUBA";4
"315140 PITANGUI";6
"315150 PIUMHI";96
"315160 PLANURA";2
"315170 POCO FUNDO";27
"315180 POCOS DE CALDAS";267
"315190 POCRANE";2
"315200 POMPEU";13
"315210 PONTE NOVA";79
"315217 PONTO DOS VOLANTES";4
"315220 PORTEIRINHA";29
"315230 PORTO FIRME";6
"315250 POUSO ALEGRE";655
"315260 POUSO ALTO";1
"315280 PRATA";17
"315290 PRATAPOLIS";3
"315300 PRATINHA";1
"315310 PRESIDENTE BERNARDES";1
"315320 PRESIDENTE JUSCELINO";1
"315330 PRESIDENTE KUBITSCHEK";1
"315340 PRESIDENTE OLEGARIO";4
"315350 ALTO JEQUITIBA";3
"315370 QUARTEL GERAL";2
"315390 RAPOSOS";2
"315400 RAUL SOARES";13
"315410 RECREIO";2
"315430 RESPLENDOR";8
"315440 RESSAQUINHA";5
"315445 RIACHINHO";2
"315450 RIACHO DOS MACHADOS";3
"315460 RIBEIRAO DAS NEVES";38
"315480 RIO ACIMA";9
"315490 RIO CASCA";15
"315500 RIO DOCE";1
"315510 RIO DO PRADO";1
"315530 RIO MANSO";1
"315540 RIO NOVO";1
"315550 RIO PARANAIBA";7
"315560 RIO PARDO DE MINAS";4
"315570 RIO PIRACICABA";1
"315580 RIO POMBA";17
"315590 RIO PRETO";6
"315600 RIO VERMELHO";3
"315610 RITAPOLIS";21
"315620 ROCHEDO DE MINAS";1
"315640 ROMARIA";1
"315660 RUBIM";6
"315670 SABARA";32
"315680 SABINOPOLIS";10
"315690 SACRAMENTO";47
"315700 SALINAS";66
"315720 SANTA BARBARA";31
"315740 SANTA CRUZ DO ESCALVADO";1
"315760 SANTA FE DE MINAS";1
"315770 SANTA JULIANA";2
"315780 SANTA LUZIA";248
"315790 SANTA MARGARIDA";1
"315800 SANTA MARIA DE ITABIRA";4
"315810 SANTA MARIA DO SALTO";3
"315820 SANTA MARIA DO SUACUI";2
"315830 SANTANA DA VARGEM";2
"315840 SANTANA DE CATAGUASES";2
"315860 SANTANA DO DESERTO";1
"315890 SANTANA DO MANHUACU";2
"315895 SANTANA DO PARAISO";18
"315900 SANTANA DO RIACHO";1
"315920 SANTA RITA DE CALDAS";7
"315930 SANTA RITA DE JACUTINGA";2
"315935 SANTA RITA DE MINAS";2
"315950 SANTA RITA DO ITUETO";1
"315960 SANTA RITA DO SAPUCAI";20
"315980 SANTA VITORIA";8
"315990 SANTO ANTONIO DO AMPARO";31
"316010 SANTO ANTONIO DO GRAMA";1
"316030 SANTO ANTONIO DO JACINTO";2
"316040 SANTO ANTONIO DO MONTE";19
"316045 SANTO ANTONIO DO RETIRO";2
"316070 SANTOS DUMONT";36
"316100 SAO DOMINGOS DO PRATA";18
"316105 SAO FELIX DE MINAS";1
"316110 SAO FRANCISCO";12
"316130 SAO FRANCISCO DE SALES";5
"316140 SAO FRANCISCO DO GLORIA";1
"316170 SAO GONCALO DO ABAETE";1
"316190 SAO GONCALO DO RIO ABAIXO";3
"316200 SAO GONCALO DO SAPUCAI";15
"316210 SAO GOTARDO";34
"316220 SAO JOAO BATISTA DO GLORIA";3
"316240 SAO JOAO DA PONTE";2
"316250 SAO JOAO DEL REI";205
"316265 SAO JOAO DO PACUI";4
"316270 SAO JOAO DO PARAISO";9
"316280 SAO JOAO EVANGELISTA";13
"316290 SAO JOAO NEPOMUCENO";16
"316292 SAO JOAQUIM DE BICAS";5
"316294 SAO JOSE DA BARRA";3
"316295 SAO JOSE DA LAPA";2
"316370 SAO LOURENCO";152
"316380 SAO MIGUEL DO ANTA";2
"316390 SAO PEDRO DA UNIAO";1
"316430 SAO ROQUE DE MINAS";3
"316450 SAO SEBASTIAO DO MARANHAO";2
"316470 SAO SEBASTIAO DO PARAISO";133
"316510 SAO TOMAS DE AQUINO";5
"316520 SAO THOME DAS LETRAS";3
"316530 SAO VICENTE DE MINAS";2
"316553 SARZEDO";22
"316555 SETUBINHA";1
"316620 SENHORA DOS REMEDIOS";2
"316630 SERICITA";2
"316660 SERRA DA SAUDADE";1
"316680 SERRA DO SALITRE";12
"316690 SERRANIA";1
"316710 SERRO";9
"316720 SETE LAGOAS";288
"316740 SILVIANOPOLIS";1
"316760 SIMONESIA";12
"316770 SOBRALIA";1
"316780 SOLEDADE DE MINAS";1
"316800 TAIOBEIRAS";19
"316810 TAPIRA";1
"316830 TAQUARACU DE MINAS";3
"316840 TARUMIRIM";3
"316850 TEIXEIRAS";6
"316860 TEOFILO OTONI";258
"316870 TIMOTEO";64
"316880 TIRADENTES";9
"316890 TIROS";2
"316900 TOCANTINS";3
"316920 TOMBOS";7
"316930 TRES CORACOES";69
"316935 TRES MARIAS";19
"316940 TRES PONTAS";125
"316950 TUMIRITINGA";1
"316960 TUPACIGUARA";15
"316970 TURMALINA";11
"316980 TURVOLANDIA";1
"316990 UBA";197
"317005 UBAPORANGA";1
"317010 UBERABA";519
"317020 UBERLANDIA";1169
"317040 UNAI";97
"317043 UNIAO DE MINAS";1
"317047 URUANA DE MINAS";2
"317052 URUCUIA";2
"317065 VARGEM GRANDE DO RIO PARDO";1
"317070 VARGINHA";315
"317080 VARZEA DA PALMA";6
"317090 VARZELANDIA";5
"317100 VAZANTE";18
"317103 VERDELANDIA";2
"317110 VERISSIMO";3
"317120 VESPASIANO";78
"317130 VICOSA";316
"317150 MATHIAS LOBATO";4
"317160 VIRGEM DA LAPA";3
"317170 VIRGINIA";4
"317180 VIRGINOPOLIS";2
"317200 VISCONDE DO RIO BRANCO";27
"317210 VOLTA GRANDE";2
"320010 AFONSO CLAUDIO";53
"320013 AGUIA BRANCA";4
"320016 AGUA DOCE DO NORTE";11
"320020 ALEGRE";23
"320030 ALFREDO CHAVES";6
"320040 ANCHIETA";20
"320050 APIACA";3
"320060 ARACRUZ";112
"320070 ATILIO VIVACQUA";11
"320080 BAIXO GUANDU";20
"320090 BARRA DE SAO FRANCISCO";54
"320100 BOA ESPERANCA";4
"320110 BOM JESUS DO NORTE";8
"320115 BREJETUBA";7
"320120 CACHOEIRO DE ITAPEMIRIM";256
"320130 CARIACICA";226
"320140 CASTELO";46
"320150 COLATINA";318
"320160 CONCEICAO DA BARRA";4
"320170 CONCEICAO DO CASTELO";11
"320180 DIVINO DE SAO LOURENCO";3
"320190 DOMINGOS MARTINS";19
"320200 DORES DO RIO PRETO";5
"320210 ECOPORANGA";4
"320220 FUNDAO";7
"320230 GUACUI";42
"320240 GUARAPARI";137
"320245 IBATIBA";31
"320250 IBIRACU";2
"320255 IBITIRAMA";2
"320260 ICONHA";11
"320265 IRUPI";3
"320270 ITAGUACU";8
"320280 ITAPEMIRIM";17
"320290 ITARANA";7
"320300 IUNA";17
"320305 JAGUARE";6
"320310 JERONIMO MONTEIRO";1
"320313 JOAO NEIVA";1
"320316 LARANJA DA TERRA";2
"320320 LINHARES";510
"320330 MANTENOPOLIS";5
"320332 MARATAIZES";77
"320334 MARECHAL FLORIANO";22
"320335 MARILANDIA";9
"320340 MIMOSO DO SUL";24
"320350 MONTANHA";4
"320360 MUCURICI";5
"320370 MUNIZ FREIRE";6
"320380 MUQUI";3
"320390 NOVA VENECIA";56
"320400 PANCAS";1
"320405 PEDRO CANARIO";5
"320410 PINHEIROS";19
"320420 PIUMA";28
"320425 PONTO BELO";2
"320430 PRESIDENTE KENNEDY";1
"320435 RIO BANANAL";3
"320440 RIO NOVO DO SUL";5
"320450 SANTA LEOPOLDINA";2
"320455 SANTA MARIA DE JETIBA";20
"320460 SANTA TERESA";30
"320465 SAO DOMINGOS DO NORTE";2
"320470 SAO GABRIEL DA PALHA";53
"320480 SAO JOSE DO CALCADO";6
"320490 SAO MATEUS";176
"320495 SAO ROQUE DO CANAA";9
"320500 SERRA";404
"320501 SOORETAMA";9
"320503 VARGEM ALTA";4
"320506 VENDA NOVA DO IMIGRANTE";32
"320510 VIANA";20
"320515 VILA PAVAO";3
"320517 VILA VALERIO";3
"320520 VILA VELHA";682
"320530 VITORIA";1315
"330010 ANGRA DOS REIS";265
"330015 APERIBE";21
"330020 ARARUAMA";168
"330022 AREAL";17
"330023 ARMACAO DOS BUZIOS";33
"330025 ARRAIAL DO CABO";16
"330030 BARRA DO PIRAI";56
"330040 BARRA MANSA";270
"330045 BELFORD ROXO";268
"330050 BOM JARDIM";21
"330060 BOM JESUS DO ITABAPOANA";54
"330070 CABO FRIO";164
"330080 CACHOEIRAS DE MACACU";83
"330090 CAMBUCI";13
"330093 CARAPEBUS";1
"330095 COMENDADOR LEVY GASPARIAN";14
"330100 CAMPOS DOS GOYTACAZES";806
"330110 CANTAGALO";32
"330115 CARDOSO MOREIRA";9
"330120 CARMO";5
"330130 CASIMIRO DE ABREU";41
"330140 CONCEICAO DE MACABU";21
"330150 CORDEIRO";53
"330160 DUAS BARRAS";11
"330170 DUQUE DE CAXIAS";481
"330180 ENGENHEIRO PAULO DE FRONTIN";6
"330185 GUAPIMIRIM";47
"330187 IGUABA GRANDE";27
"330190 ITABORAI";154
"330200 ITAGUAI";167
"330205 ITALVA";11
"330210 ITAOCARA";56
"330220 ITAPERUNA";434
"330225 ITATIAIA";29
"330227 JAPERI";49
"330230 LAJE DO MURIAE";8
"330240 MACAE";723
"330245 MACUCO";4
"330250 MAGE";96
"330260 MANGARATIBA";16
"330270 MARICA";94
"330280 MENDES";21
"330285 MESQUITA";55
"330290 MIGUEL PEREIRA";41
"330300 MIRACEMA";41
"330310 NATIVIDADE";25
"330320 NILOPOLIS";94
"330330 NITEROI";655
"330340 NOVA FRIBURGO";345
"330350 NOVA IGUACU";1032
"330360 PARACAMBI";48
"330370 PARAIBA DO SUL";52
"330380 PARATY";19
"330385 PATY DO ALFERES";20
"330390 PETROPOLIS";362
"330395 PINHEIRAL";11
"330400 PIRAI";26
"330410 PORCIUNCULA";25
"330411 PORTO REAL";7
"330412 QUATIS";9
"330414 QUEIMADOS";99
"330415 QUISSAMA";8
"330420 RESENDE";263
"330430 RIO BONITO";123
"330440 RIO CLARO";6
"330450 RIO DAS FLORES";6
"330452 RIO DAS OSTRAS";284
"330455 RIO DE JANEIRO";8201
"330460 SANTA MARIA MADALENA";16
"330470 SANTO ANTONIO DE PADUA";75
"330475 SAO FRANCISCO DE ITABAPOANA";20
"330480 SAO FIDELIS";19
"330490 SAO GONCALO";461
"330500 SAO JOAO DA BARRA";50
"330510 SAO JOAO DE MERITI";310
"330513 SAO JOSE DE UBA";4
"330515 SAO JOSE DO VALE DO RIO PRETO";24
"330520 SAO PEDRO DA ALDEIA";151
"330530 SAO SEBASTIAO DO ALTO";14
"330540 SAPUCAIA";6
"330550 SAQUAREMA";53
"330555 SEROPEDICA";32
"330560 SILVA JARDIM";3
"330570 SUMIDOURO";14
"330575 TANGUA";34
"330580 TERESOPOLIS";286
"330590 TRAJANO DE MORAES";20
"330600 TRES RIOS";158
"330610 VALENCA";137
"330615 VARRE-SAI";3
"330620 VASSOURAS";71
"330630 VOLTA REDONDA";787
"350010 ADAMANTINA";132
"350020 ADOLFO";8
"350030 AGUAI";16
"350040 AGUAS DA PRATA";2
"350050 AGUAS DE LINDOIA";11
"350060 AGUAS DE SAO PEDRO";1
"350070 AGUDOS";8
"350075 ALAMBARI";1
"350080 ALFREDO MARCONDES";2
"350090 ALTAIR";1
"350100 ALTINOPOLIS";20
"350110 ALTO ALEGRE";6
"350115 ALUMINIO";11
"350120 ALVARES FLORENCE";6
"350130 ALVARES MACHADO";6
"350160 AMERICANA";443
"350170 AMERICO BRASILIENSE";4
"350190 AMPARO";116
"350210 ANDRADINA";183
"350220 ANGATUBA";9
"350230 ANHEMBI";2
"350240 ANHUMAS";1
"350250 APARECIDA";19
"350260 APARECIDA D'OESTE";5
"350270 APIAI";6
"350275 ARACARIGUAMA";7
"350280 ARACATUBA";323
"350290 ARACOIABA DA SERRA";5
"350310 ARANDU";1
"350315 ARAPEI";3
"350320 ARARAQUARA";468
"350330 ARARAS";188
"350340 AREALVA";1
"350360 AREIOPOLIS";1
"350370 ARIRANHA";1
"350380 ARTUR NOGUEIRA";17
"350390 ARUJA";55
"350400 ASSIS";264
"350410 ATIBAIA";185
"350420 AURIFLAMA";7
"350450 AVARE";74
"350460 BADY BASSITT";5
"350480 BALSAMO";1
"350490 BANANAL";2
"350520 BARIRI";25
"350530 BARRA BONITA";36
"350550 BARRETOS";158
"350560 BARRINHA";8
"350570 BARUERI";349
"350580 BASTOS";16
"350590 BATATAIS";58
"350600 BAURU";436
"350610 BEBEDOURO";121
"350630 BERNARDINO DE CAMPOS";1
"350635 BERTIOGA";21
"350650 BIRIGUI";110
"350660 BIRITIBA-MIRIM";11
"350670 BOA ESPERANCA DO SUL";2
"350680 BOCAINA";5
"350700 BOITUVA";67
"350710 BOM JESUS DOS PERDOES";5
"350730 BORACEIA";2
"350740 BORBOREMA";3
"350750 BOTUCATU";313
"350760 BRAGANCA PAULISTA";369
"350775 BREJO ALEGRE";1
"350780 BRODOWSKI";17
"350790 BROTAS";19
"350800 BURI";4
"350810 BURITAMA";30
"350830 CABRALIA PAULISTA";1
"350840 CABREUVA";19
"350850 CACAPAVA";98
"350860 CACHOEIRA PAULISTA";26
"350870 CACONDE";13
"350880 CAFELANDIA";18
"350890 CAIABU";2
"350900 CAIEIRAS";30
"350920 CAJAMAR";62
"350925 CAJATI";6
"350930 CAJOBI";4
"350940 CAJURU";27
"350950 CAMPINAS";1408
"350960 CAMPO LIMPO PAULISTA";19
"350970 CAMPOS DO JORDAO";32
"350980 CAMPOS NOVOS PAULISTA";1
"350990 CANANEIA";4
"351000 CANDIDO MOTA";13
"351020 CAPAO BONITO";26
"351030 CAPELA DO ALTO";8
"351040 CAPIVARI";40
"351050 CARAGUATATUBA";150
"351060 CARAPICUIBA";135
"351070 CARDOSO";6
"351080 CASA BRANCA";31
"351100 CASTILHO";8
"351110 CATANDUVA";484
"351120 CATIGUA";1
"351130 CEDRAL";2
"351140 CERQUEIRA CESAR";5
"351150 CERQUILHO";46
"351160 CESARIO LANGE";17
"351170 CHARQUEADA";6
"351200 COLINA";10
"351230 CONCHAS";8
"351240 CORDEIROPOLIS";23
"351250 COROADOS";3
"351260 CORONEL MACEDO";2
"351270 CORUMBATAI";1
"351280 COSMOPOLIS";51
"351290 COSMORAMA";5
"351300 COTIA";90
"351310 CRAVINHOS";23
"351320 CRISTAIS PAULISTA";1
"351340 CRUZEIRO";201
"351350 CUBATAO";71
"351360 CUNHA";32
"351370 DESCALVADO";20
"351380 DIADEMA";94
"351390 DIVINOLANDIA";13
"351410 DOIS CORREGOS";10
"351430 DOURADO";4
"351440 DRACENA";159
"351450 DUARTINA";6
"351460 DUMONT";5
"351470 ECHAPORA";2
"351480 ELDORADO";5
"351500 EMBU DAS ARTES";58
"351510 EMBU-GUACU";8
"351515 ENGENHEIRO COELHO";14
"351518 ESPIRITO SANTO DO PINHAL";48
"351520 ESTRELA D'OESTE";9
"351535 EUCLIDES DA CUNHA PAULISTA";3
"351550 FERNANDOPOLIS";177
"351560 FERNANDO PRESTES";3
"351565 FERNAO";4
"351570 FERRAZ DE VASCONCELOS";37
"351580 FLORA RICA";1
"351600 FLORIDA PAULISTA";3
"351610 FLORINIA";1
"351620 FRANCA";172
"351630 FRANCISCO MORATO";46
"351640 FRANCO DA ROCHA";71
"351650 GABRIEL MONTEIRO";1
"351660 GALIA";1
"351670 GARCA";32
"351680 GASTAO VIDIGAL";1
"351690 GENERAL SALGADO";4
"351700 GETULINA";2
"351740 GUAIRA";39
"351750 GUAPIACU";3
"351760 GUAPIARA";1
"351770 GUARA";23
"351800 GUARANI D'OESTE";1
"351820 GUARARAPES";29
"351830 GUARAREMA";11
"351840 GUARATINGUETA";71
"351850 GUAREI";2
"351860 GUARIBA";43
"351870 GUARUJA";165
"351880 GUARULHOS";681
"351885 GUATAPARA";6
"351900 HERCULANDIA";2
"351905 HOLAMBRA";13
"351907 HORTOLANDIA";66
"351910 IACANGA";3
"351930 IBATE";5
"351940 IBIRA";6
"351960 IBITINGA";74
"351970 IBIUNA";17
"351980 ICEM";4
"351990 IEPE";2
"352000 IGARACU DO TIETE";1
"352010 IGARAPAVA";15
"352020 IGARATA";1
"352030 IGUAPE";3
"352040 ILHABELA";41
"352042 ILHA COMPRIDA";2
"352044 ILHA SOLTEIRA";55
"352050 INDAIATUBA";235
"352080 INUBIA PAULISTA";3
"352090 IPAUSSU";8
"352100 IPERO";3
"352110 IPEUNA";2
"352115 IPIGUA";1
"352130 IPUA";14
"352140 IRACEMAPOLIS";8
"352160 IRAPURU";1
"352170 ITABERA";1
"352180 ITAI";6
"352190 ITAJOBI";8
"352210 ITANHAEM";49
"352220 ITAPECERICA DA SERRA";36
"352230 ITAPETININGA";47
"352240 ITAPEVA";151
"352250 ITAPEVI";66
"352260 ITAPIRA";115
"352270 ITAPOLIS";26
"352280 ITAPORANGA";3
"352290 ITAPUI";2
"352310 ITAQUAQUECETUBA";51
"352320 ITARARE";20
"352330 ITARIRI";1
"352340 ITATIBA";93
"352350 ITATINGA";7
"352360 ITIRAPINA";9
"352370 ITIRAPUA";3
"352380 ITOBI";1
"352390 ITU";212
"352400 ITUPEVA";24
"352410 ITUVERAVA";192
"352420 JABORANDI";2
"352430 JABOTICABAL";122
"352440 JACAREI";214
"352450 JACI";1
"352460 JACUPIRANGA";1
"352470 JAGUARIUNA";65
"352480 JALES";96
"352490 JAMBEIRO";3
"352500 JANDIRA";28
"352510 JARDINOPOLIS";35
"352520 JARINU";17
"352530 JAU";434
"352550 JOANOPOLIS";7
"352570 JOSE BONIFACIO";21
"352585 JUMIRIM";3
"352590 JUNDIAI";969
"352600 JUNQUEIROPOLIS";11
"352610 JUQUIA";6
"352620 JUQUITIBA";15
"352630 LAGOINHA";2
"352640 LARANJAL PAULISTA";47
"352660 LAVRINHAS";4
"352670 LEME";131
"352680 LENCOIS PAULISTA";58
"352690 LIMEIRA";489
"352700 LINDOIA";16
"352710 LINS";120
"352720 LORENA";114
"352730 LOUVEIRA";60
"352740 LUCELIA";19
"352760 LUIS ANTONIO";15
"352800 MACATUBA";16
"352810 MACAUBAL";5
"352840 MAIRINQUE";17
"352850 MAIRIPORA";21
"352860 MANDURI";4
"352880 MARACAI";2
"352885 MARAPOAMA";1
"352900 MARILIA";276
"352920 MARTINOPOLIS";5
"352930 MATAO";120
"352940 MAUA";135
"352950 MENDONCA";3
"352970 MIGUELOPOLIS";4
"352980 MINEIROS DO TIETE";11
"352990 MIRACATU";3
"353010 MIRANDOPOLIS";23
