CNES - Recursos Físicos - Urgência - Leitos de Repouso / Observação - Brasil
Leitos Repouso/Observação Indif por Município
Período:Jul/2024
"Município";"Leitos_Repouso/Observação_Indif"
"355630 VALPARAISO";4
"355640 VARGEM GRANDE DO SUL";6
"355645 VARGEM GRANDE PAULISTA";3
"355650 VARZEA PAULISTA";2
"355670 VINHEDO";5
"355680 VIRADOURO";5
"355700 VOTORANTIM";11
"355710 VOTUPORANGA";14
"410040 ALMIRANTE TAMANDARE";4
"410045 ALTAMIRA DO PARANA";2
"410060 ALTO PARANA";1
"410070 ALTO PIQUIRI";9
"410100 AMPERE";6
"410140 APUCARANA";12
"410150 ARAPONGAS";20
"410160 ARAPOTI";3
"410170 ARARUNA";2
"410180 ARAUCARIA";38
"410190 ASSAI";1
"410200 ASSIS CHATEAUBRIAND";1
"410210 ASTORGA";13
"410230 BALSA NOVA";1
"410240 BANDEIRANTES";1
"410250 BARBOSA FERRAZ";2
"410260 BARRACAO";1
"410310 BOCAIUVA DO SUL";2
"410315 BOM JESUS DO SUL";3
"410345 CAFELANDIA";1
"410360 CAMBARA";4
"410370 CAMBE";14
"410380 CAMBIRA";6
"410400 CAMPINA GRANDE DO SUL";16
"410420 CAMPO LARGO";1
"410430 CAMPO MOURAO";18
"410440 CANDIDO DE ABREU";3
"410480 CASCAVEL";49
"410490 CASTRO";18
"410510 CENTENARIO DO SUL";3
"410520 CERRO AZUL";5
"410530 CEU AZUL";2
"410540 CHOPINZINHO";2
"410550 CIANORTE";21
"410580 COLOMBO";18
"410590 COLORADO";4
"410600 CONGONHINHAS";1
"410610 CONSELHEIRO MAIRINCK";1
"410630 CORBELIA";4
"410640 CORNELIO PROCOPIO";6
"410645 CORONEL DOMINGOS SOARES";2
"410650 CORONEL VIVIDA";5
"410657 CRUZEIRO DO IGUACU";6
"410670 CRUZEIRO DO SUL";2
"410690 CURITIBA";262
"410712 DIAMANTE DO SUL";1
"410720 DOIS VIZINHOS";1
"410750 ENGENHEIRO BELTRAO";2
"410760 FAXINAL";17
"410765 FAZENDA RIO GRANDE";5
"410820 FORMOSA DO OESTE";6
"410830 FOZ DO IGUACU";49
"410840 FRANCISCO BELTRAO";22
"410850 GENERAL CARNEIRO";6
"410860 GOIOERE";10
"410880 GUAIRA";4
"410900 GUAPIRAMA";1
"410940 GUARAPUAVA";14
"410950 GUARAQUECABA";2
"410960 GUARATUBA";4
"410970 IBAITI";3
"410975 IBEMA";1
"410980 IBIPORA";11
"410990 ICARAIMA";1
"411020 INACIO MARTINS";1
"411050 IPIRANGA";1
"411060 IPORA";1
"411070 IRATI";7
"411095 ITAIPULANDIA";1
"411125 ITAPERUCU";9
"411150 IVAIPORA";6
"411155 IVATE";2
"411170 JABOTI";1
"411190 JAGUAPITA";2
"411200 JAGUARIAIVA";3
"411210 JANDAIA DO SUL";8
"411230 JAPIRA";3
"411240 JAPURA";1
"411280 JOAQUIM TAVORA";2
"411295 JURANDA";1
"411320 LAPA";6
"411330 LARANJEIRAS DO SUL";6
"411350 LOANDA";4
"411370 LONDRINA";86
"411400 MAMBORE";1
"411410 MANDAGUACU";2
"411420 MANDAGUARI";1
"411430 MANDIRITUBA";5
"411450 MANOEL RIBAS";1
"411460 MARECHAL CANDIDO RONDON";13
"411470 MARIA HELENA";3
"411480 MARIALVA";1
"411500 MARILENA";1
"411520 MARINGA";183
"411530 MARIOPOLIS";4
"411535 MARIPA";2
"411540 MARMELEIRO";1
"411560 MATELANDIA";1
"411570 MATINHOS";4
"411580 MEDIANEIRA";13
"411605 MISSAL";1
"411610 MOREIRA SALES";5
"411640 NOSSA SENHORA DAS GRACAS";1
"411695 NOVA ESPERANCA DO SUDOESTE";6
"411700 NOVA FATIMA";2
"411710 NOVA LONDRINA";8
"411722 NOVA SANTA ROSA";1
"411730 ORTIGUEIRA";1
"411745 OURO VERDE DO OESTE";8
"411750 PAICANDU";6
"411790 PALOTINA";9
"411800 PARAISO DO NORTE";3
"411820 PARANAGUA";37
"411840 PARANAVAI";4
"411850 PATO BRANCO";13
"411880 PEABIRU";2
"411885 PEROBAL";3
"411900 PEROLA D'OESTE";3
"411910 PIEN";3
"411915 PINHAIS";25
"411930 PINHAO";1
"411940 PIRAI DO SUL";2
"411960 PITANGA";2
"411980 PLANALTO";1
"411990 PONTA GROSSA";26
"411995 PONTAL DO PARANA";3
"412000 PORECATU";4
"412035 PRANCHITA";5
"412080 QUATRO BARRAS";1
"412090 QUEDAS DO IGUACU";4
"412100 QUERENCIA DO NORTE";1
"412130 RANCHO ALEGRE";1
"412180 RIBEIRAO CLARO";4
"412210 RIO BOM";4
"412217 RIO BRANCO DO IVAI";4
"412220 RIO BRANCO DO SUL";6
"412230 RIO NEGRO";4
"412240 ROLANDIA";10
"412300 SALTO DO LONTRA";8
"412320 SANTA CECILIA DO PAVAO";7
"412340 SANTA FE";1
"412350 SANTA HELENA";2
"412400 SANTANA DO ITARARE";2
"412402 SANTA TEREZA DO OESTE";9
"412405 SANTA TEREZINHA DE ITAIPU";1
"412410 SANTO ANTONIO DA PLATINA";12
"412420 SANTO ANTONIO DO CAIUA";2
"412440 SANTO ANTONIO DO SUDOESTE";2
"412460 SAO CARLOS DO IVAI";1
"412490 SAO JOAO DO CAIUA";3
"412510 SAO JOAO DO TRIUNFO";1
"412530 SAO JORGE DO IVAI";5
"412535 SAO JORGE DO PATROCINIO";3
"412540 SAO JOSE DA BOA VISTA";2
"412545 SAO JOSE DAS PALMEIRAS";1
"412550 SAO JOSE DOS PINHAIS";28
"412570 SAO MIGUEL DO IGUACU";12
"412600 SAO SEBASTIAO DA AMOREIRA";8
"412625 SARANDI";3
"412630 SENGES";1
"412640 SERTANEJA";2
"412667 TAMARANA";2
"412670 TAMBOARA";1
"412710 TELEMACO BORBA";6
"412720 TERRA BOA";3
"412770 TOLEDO";18
"412780 TOMAZINA";2
"412790 TUNEIRAS DO OESTE";2
"412795 TUPASSI";1
"412800 UBIRATA";2
"412810 UMUARAMA";3
"412820 UNIAO DA VITORIA";5
"412830 UNIFLOR";2
"412840 URAI";2
"412860 VERE";1
"412863 DOUTOR ULYSSES";1
"420010 ABELARDO LUZ";8
"420020 AGROLANDIA";10
"420040 AGUA DOCE";3
"420070 ALFREDO WAGNER";2
"420090 ANGELINA";5
"420100 ANITA GARIBALDI";4
"420110 ANITAPOLIS";4
"420127 ARABUTA";2
"420130 ARAQUARI";1
"420140 ARARANGUA";1
"420160 ARROIO TRINTA";1
"420180 ATALANTA";1
"420200 BALNEARIO CAMBORIU";57
"420205 BALNEARIO BARRA DO SUL";3
"420210 BARRA VELHA";3
"420230 BIGUACU";7
"420240 BLUMENAU";50
"420245 BOMBINHAS";7
"420250 BOM JARDIM DA SERRA";2
"420260 BOM RETIRO";1
"420280 BRACO DO NORTE";6
"420290 BRUSQUE";19
"420300 CACADOR";19
"420310 CAIBI";2
"420315 CALMON";1
"420320 CAMBORIU";6
"420340 CAMPO BELO DO SUL";2
"420360 CAMPOS NOVOS";8
"420370 CANELINHA";4
"420395 CAPIVARI DE BAIXO";12
"420400 CATANDUVAS";2
"420410 CAXAMBU DO SUL";3
"420420 CHAPECO";60
"420440 CORONEL FREITAS";3
"420460 CRICIUMA";10
"420470 CUNHA PORA";3
"420480 CURITIBANOS";2
"420500 DIONISIO CERQUEIRA";11
"420530 FAXINAL DOS GUEDES";2
"420540 FLORIANOPOLIS";172
"420550 FRAIBURGO";1
"420555 FREI ROGERIO";1
"420570 GAROPABA";2
"420580 GARUVA";2
"420650 GUARAMIRIM";10
"420660 GUARUJA DO SUL";2
"420670 HERVAL D'OESTE";4
"420675 IBIAM";1
"420690 IBIRAMA";6
"420700 ICARA";4
"420720 IMARUI";21
"420730 IMBITUBA";11
"420740 IMBUIA";2
"420760 IPIRA";2
"420770 IPUMIRIM";2
"420780 IRANI";5
"420790 IRINEOPOLIS";1
"420810 ITAIOPOLIS";8
"420820 ITAJAI";36
"420830 ITAPEMA";9
"420850 ITUPORANGA";4
"420890 JARAGUA DO SUL";27
"420900 JOACABA";14
"420910 JOINVILLE";80
"420930 LAGES";35
"420940 LAGUNA";12
"420970 LEBON REGIS";6
"421000 LUIZ ALVES";1
"421005 MACIEIRA";1
"421010 MAFRA";9
"421030 MAJOR VIEIRA";1
"421040 MARACAJA";4
"421060 MASSARANDUBA";4
"421070 MATOS COSTA";2
"421080 MELEIRO";4
"421090 MODELO";1
"421100 MONDAI";1
"421105 MONTE CARLO";2
"421160 NOVA VENEZA";29
"421170 ORLEANS";4
"421190 PALHOCA";21
"421200 PALMA SOLA";5
"421210 PALMITOS";2
"421223 PARAISO";2
"421250 PENHA";8
"421270 PETROLANDIA";3
"421280 BALNEARIO PICARRAS";6
"421290 PINHALZINHO";4
"421320 POMERODE";6
"421330 PONTE ALTA";1
"421335 PONTE ALTA DO NORTE";2
"421340 PONTE SERRADA";2
"421350 PORTO BELO";4
"421360 PORTO UNIAO";9
"421370 POUSO REDONDO";5
"421380 PRAIA GRANDE";1
"421400 PRESIDENTE GETULIO";4
"421480 RIO DO SUL";7
"421500 RIO NEGRINHO";1
"421530 SALETE";2
"421550 SANTA CECILIA";7
"421580 SAO BENTO DO SUL";4
"421590 SAO BONIFACIO";3
"421600 SAO CARLOS";1
"421610 SAO DOMINGOS";3
"421620 SAO FRANCISCO DO SUL";5
"421625 SAO JOAO DO OESTE";2
"421630 SAO JOAO BATISTA";8
"421650 SAO JOAQUIM";4
"421660 SAO JOSE";58
"421720 SAO MIGUEL DO OESTE";9
"421750 SEARA";4
"421760 SIDEROPOLIS";10
"421780 TAIO";1
"421790 TANGARA";1
"421800 TIJUCAS";22
"421810 TIMBE DO SUL";2
"421820 TIMBO";1
"421825 TIMBO GRANDE";1
"421850 TREZE TILIAS";2
"421870 TUBARAO";7
"421880 TURVO";1
"421930 VIDEIRA";3
"421940 WITMARSUM";1
"421950 XANXERE";8
"421960 XAVANTINA";1
"421970 XAXIM";12
"421985 ZORTEA";1
"430020 AJURICABA";1
"430040 ALEGRETE";6
"430063 AMARAL FERRADOR";2
"430087 ARARICA";5
"430105 ARROIO DO SAL";2
"430110 ARROIO DOS RATOS";4
"430120 ARROIO DO TIGRE";1
"430130 ARROIO GRANDE";4
"430140 ARVOREZINHA";6
"430160 BAGE";14
"430180 BARRACAO";2
"430190 BARRA DO RIBEIRO";2
"430210 BENTO GONCALVES";13
"430230 BOM JESUS";8
"430245 BOQUEIRAO DO LEAO";1
"430250 BOSSOROCA";4
"430270 BUTIA";2
"430280 CACAPAVA DO SUL";6
"430290 CACEQUI";4
"430300 CACHOEIRA DO SUL";4
"430310 CACHOEIRINHA";8
"430340 CAICARA";2
"430350 CAMAQUA";8
"430380 CAMPINAS DO SUL";3
"430390 CAMPO BOM";12
"430400 CAMPO NOVO";1
"430435 CANDIOTA";4
"430450 CANGUCU";5
"430460 CANOAS";50
"430463 CAPAO DA CANOA";9
"430466 CAPAO DO LEAO";5
"430467 CAPIVARI DO SUL";2
"430468 CAPELA DE SANTANA";3
"430470 CARAZINHO";24
"430480 CARLOS BARBOSA";1
"430510 CAXIAS DO SUL";71
"430535 CHARQUEADAS";5
"430545 CIDREIRA";2
"430580 CONSTANTINA";3
"430590 CORONEL BICACO";1
"430605 CRISTAL";2
"430610 CRUZ ALTA";5
"430645 DOIS LAJEADOS";3
"430650 DOM FELICIANO";3
"430660 DOM PEDRITO";1
"430670 DONA FRANCISCA";3
"430680 ENCANTADO";4
"430690 ENCRUZILHADA DO SUL";3
"430700 ERECHIM";15
"430720 ERVAL GRANDE";2
"430730 ERVAL SECO";12
"430750 ESPUMOSO";10
"430755 ESTACAO";6
"430760 ESTANCIA VELHA";21
"430770 ESTEIO";23
"430790 FARROUPILHA";8
"430800 FAXINAL DO SOTURNO";2
"430820 FLORES DA CUNHA";18
"430840 FORMIGUEIRO";1
"430850 FREDERICO WESTPHALEN";5
"430860 GARIBALDI";5
"430880 GENERAL CAMARA";1
"430890 GETULIO VARGAS";5
"430905 GLORINHA";3
"430910 GRAMADO";11
"430920 GRAVATAI";14
"430930 GUAIBA";3
"430990 IBIRAIARAS";1
"431010 IGREJINHA";4
"431020 IJUI";8
"431033 IMBE";10
"431053 ITAARA";2
"431060 ITAQUI";2
"431070 ITATIBA DO SUL";2
"431085 JABOTICABA";4
"431100 JAGUARAO";8
"431110 JAGUARI";1
"431112 JAQUIRANA";1
"431130 LAGOA VERMELHA";6
"431140 LAJEADO";15
"431160 LIBERATO SALZANO";10
"431170 MACHADINHO";4
"431175 MANOEL VIANA";1
"431177 MAQUINE";1
"431198 MARIANA PIMENTEL";1
"431200 MARIANO MORO";2
"431220 MAXIMILIANO DE ALMEIDA";1
"431225 MINAS DO LEAO";2
"431244 MORRINHOS DO SUL";1
"431245 MORRO REDONDO";4
"431250 MOSTARDAS";1
"431260 MUCUM";4
"431270 NONOAI";10
"431290 NOVA BASSANO";5
"431306 NOVA HARTZ";3
"431320 NOVA PETROPOLIS";8
"431330 NOVA PRATA";8
"431337 NOVA SANTA RITA";2
"431340 NOVO HAMBURGO";32
"431346 NOVO XINGU";2
"431350 OSORIO";12
"431360 PAIM FILHO";3
"431370 PALMEIRA DAS MISSOES";5
"431390 PANAMBI";1
"431400 PARAI";3
"431402 PARAISO DO SUL";1
"431405 PAROBE";6
"431410 PASSO FUNDO";21
"431420 PEDRO OSORIO";4
"431440 PELOTAS";57
"431460 PIRATINI";2
"431480 PORTAO";5
"431490 PORTO ALEGRE";232
"431514 PRESIDENTE LUCENA";1
"431520 PUTINGA";2
"431550 RESTINGA SECA";10
"431560 RIO GRANDE";39
"431575 RIOZINHO";4
"431590 RODEIO BONITO";5
"431600 ROLANTE";8
"431640 ROSARIO DO SUL";10
"431643 SALDANHA MARINHO";2
"431660 SANANDUVA";4
"431680 SANTA CRUZ DO SUL";7
"431690 SANTA MARIA";61
"431700 SANTANA DA BOA VISTA";1
"431710 SANT'ANA DO LIVRAMENTO";2
"431720 SANTA ROSA";7
"431730 SANTA VITORIA DO PALMAR";4
"431740 SANTIAGO";7
"431750 SANTO ANGELO";10
"431760 SANTO ANTONIO DA PATRULHA";4
"431800 SAO BORJA";3
"431805 SAO DOMINGOS DO SUL";1
"431810 SAO FRANCISCO DE ASSIS";4
"431820 SAO FRANCISCO DE PAULA";15
"431830 SAO GABRIEL";6
"431840 SAO JERONIMO";15
"431848 SAO JOSE DO HORTENCIO";2
"431850 SAO JOSE DO NORTE";4
"431860 SAO JOSE DO OURO";4
"431870 SAO LEOPOLDO";42
"431880 SAO LOURENCO DO SUL";12
"431890 SAO LUIZ GONZAGA";6
"431940 SAO PEDRO DO SUL";3
"431960 SAO SEPE";3
"431990 SAPIRANGA";19
"432000 SAPUCAIA DO SUL";13
"432010 SARANDI";2
"432030 SELBACH";2
"432050 SERTAO";6
"432055 SERTAO SANTANA";1
"432060 SEVERIANO DE ALMEIDA";1
"432070 SOBRADINHO";1
"432080 SOLEDADE";2
"432110 TAPES";1
"432120 TAQUARA";8
"432140 TENENTE PORTELA";6
"432143 TERRA DE AREIA";1
"432145 TEUTONIA";9
"432160 TRAMANDAI";7
"432170 TRES COROAS";2
"432180 TRES DE MAIO";1
"432183 TRES FORQUILHAS";3
"432190 TRES PASSOS";1
"432200 TRIUNFO";1
"432240 URUGUAIANA";10
"432250 VACARIA";11
"432252 VALE VERDE";2
"432253 VALE DO SOL";2
"432254 VALE REAL";5
"432260 VENANCIO AIRES";10
"432280 VERANOPOLIS";2
"432290 VIADUTOS";3
"432300 VIAMAO";25
"432310 VICENTE DUTRA";2
"432320 VICTOR GRAEFF";1
"432370 VISTA GAUCHA";4
"432380 XANGRI-LA";17
"500020 AGUA CLARA";2
"500060 AMAMBAI";1
"500070 ANASTACIO";1
"500085 ANGELICA";1
"500110 AQUIDAUANA";7
"500124 ARAL MOREIRA";2
"500150 BANDEIRANTES";3
"500200 BATAYPORA";3
"500215 BODOQUENA";2
"500220 BONITO";2
"500230 BRASILANDIA";2
"500240 CAARAPO";4
"500260 CAMAPUA";6
"500270 CAMPO GRANDE";197
"500280 CARACOL";2
"500290 CASSILANDIA";2
"500295 CHAPADAO DO SUL";2
"500325 COSTA RICA";1
"500370 DOURADOS";50
"500375 ELDORADO";4
"500430 IGUATEMI";2
"500460 ITAQUIRAI";2
"500470 IVINHEMA";3
"500500 JARDIM";5
"500525 LAGUNA CARAPA";2
"500540 MARACAJU";10
"500560 MIRANDA";6
"500568 MUNDO NOVO";1
"500570 NAVIRAI";11
"500580 NIOAQUE";3
"500600 NOVA ALVORADA DO SUL";4
"500620 NOVA ANDRADINA";11
"500625 NOVO HORIZONTE DO SUL";1
"500630 PARANAIBA";10
"500635 PARANHOS";1
"500640 PEDRO GOMES";2
"500660 PONTA PORA";19
"500710 RIBAS DO RIO PARDO";2
"500730 RIO NEGRO";2
"500740 RIO VERDE DE MATO GROSSO";3
"500755 SANTA RITA DO PARDO";1
"500769 SAO GABRIEL DO OESTE";6
"500780 SELVIRIA";1
"500790 SIDROLANDIA";8
"500795 TACURU";3
"500800 TERENOS";3
"500830 TRES LAGOAS";52
"500840 VICENTINA";2
"510020 AGUA BOA";9
"510025 ALTA FLORESTA";4
"510030 ALTO ARAGUAIA";3
"510060 ALTO TAQUARI";11
"510125 ARAPUTANGA";2
"510140 ARIPUANA";6
"510180 BARRA DO GARCAS";22
"510190 BRASNORTE";5
"510250 CACERES";13
"510260 CAMPINAPOLIS";3
"510263 CAMPO NOVO DO PARECIS";2
"510267 CAMPO VERDE";2
"510268 CAMPOS DE JULIO";2
"510279 CARLINDA";1
"510285 CASTANHEIRA";8
"510300 CHAPADA DOS GUIMARAES";6
"510320 COLIDER";11
"510325 COLNIZA";2
"510335 CONFRESA";2
"510337 COTRIGUACU";4
"510340 CUIABA";119
"510343 CURVELANDIA";1
"510410 GUARANTA DO NORTE";4
"510420 GUIRATINGA";4
"510455 ITAUBA";1
"510460 ITIQUIRA";4
"510515 JUINA";8
"510520 JUSCIMEIRA";5
"510523 LAMBARI D'OESTE";10
"510525 LUCAS DO RIO VERDE";11
"510562 MIRASSOL D'OESTE";5
"510590 NOBRES";4
"510600 NORTELANDIA";2
"510615 NOVA BANDEIRANTES";4
"510619 NOVA SANTA HELENA";2
"510622 NOVA MUTUM";6
"510623 NOVA OLIMPIA";1
"510624 NOVA UBIRATA";1
"510625 NOVA XAVANTINA";3
"510628 NOVO SAO JOAQUIM";7
"510629 PARANAITA";1
"510642 PEIXOTO DE AZEVEDO";6
"510650 POCONE";1
"510675 PONTES E LACERDA";3
"510680 PORTO DOS GAUCHOS";2
"510682 PORTO ESPERIDIAO";1
"510700 POXOREO";8
"510704 PRIMAVERA DO LESTE";8
"510726 SANTO AFONSO";1
"510730 SAO JOSE DO RIO CLARO";1
"510760 RONDONOPOLIS";14
"510770 ROSARIO OESTE";2
"510774 SANTA CRUZ DO XINGU";2
"510785 SAO FELIX DO ARAGUAIA";2
"510787 SAPEZAL";1
"510790 SINOP";29
"510792 SORRISO";26
"510794 TABAPORA";1
"510795 TANGARA DA SERRA";19
"510805 TERRA NOVA DO NORTE";3
"510820 TORIXOREU";1
"510840 VARZEA GRANDE";7
"510885 NOVA MARILANDIA";2
"510890 NOVA MARINGA";1
"510895 NOVA MONTE VERDE";2
"520005 ABADIA DE GOIAS";3
"520025 AGUAS LINDAS DE GOIAS";17
"520110 ANAPOLIS";95
"520140 APARECIDA DE GOIANIA";3
"520160 ARACU";1
"520170 ARAGARCAS";6
"520180 ARAGOIANIA";1
"520235 ARENOPOLIS";1
"520340 BOM JARDIM DE GOIAS";4
"520350 BOM JESUS DE GOIAS";6
"520400 CABECEIRAS";2
"520410 CACHOEIRA ALTA";1
"520425 CACHOEIRA DOURADA";5
"520430 CACU";3
"520450 CALDAS NOVAS";6
"520465 CAMPINACU";3
"520470 CAMPINORTE";1
"520490 CAMPOS BELOS";1
"520495 CAMPOS VERDES";6
"520510 CATALAO";10
"520520 CATURAI";1
"520530 CAVALCANTE";2
"520540 CERES";23
"520547 CHAPADAO DO CEU";1
"520549 CIDADE OCIDENTAL";12
"520551 COCALZINHO DE GOIAS";3
"520620 CRISTALINA";2
"520660 CUMARI";1
"520670 DAMIANOPOLIS";1
"520680 DAMOLANDIA";3
"520725 DOVERLANDIA";1
"520735 EDEALINA";1
"520753 FAINA";2
"520790 FLORES DE GOIAS";2
"520800 FORMOSA";17
"520810 FORMOSO";2
"520815 GAMELEIRA DE GOIAS";1
"520860 GOIANESIA";8
"520870 GOIANIA";247
"520890 GOIAS";1
"520910 GOIATUBA";7
"520920 GUAPO";4
"520980 HIDROLINA";2
"520995 INDIARA";2
"521000 INHUMAS";2
"521010 IPAMERI";18
"521020 IPORA";15
"521120 ITAPURANGA";4
"521150 ITUMBIARA";2
"521160 IVOLANDIA";1
"521190 JATAI";1
"521220 JUSSARA";2
"521230 LEOPOLDO DE BULHOES";1
"521250 LUZIANIA";22
"521270 MAMBAI";1
"521308 MINACU";6
"521310 MINEIROS";2
"521380 MORRINHOS";3
"521390 MOSSAMEDES";1
"521450 NEROPOLIS";2
"521483 NOVA CRIXAS";8
"521486 NOVA GLORIA";3
"521523 NOVO GAMA";3
"521560 PADRE BERNARDO";22
"521565 PALESTINA DE GOIAS";2
"521570 PALMEIRAS DE GOIAS";1
"521600 PANAMA";1
"521630 PARANAIGUARA";1
"521680 PETROLINA DE GOIAS";4
"521710 PIRACANJUBA";4
"521730 PIRENOPOLIS";4
"521740 PIRES DO RIO";6
"521760 PLANALTINA";5
"521770 PONTALINA";1
"521800 PORANGATU";1
"521805 PORTEIRAO";1
"521810 PORTELANDIA";1
"521830 POSSE";2
"521850 QUIRINOPOLIS";7
"521860 RIALMA";3
"521870 RIANAPOLIS";4
"521880 RIO VERDE";30
"521910 SANTA BARBARA DE GOIAS";3
"521925 SANTA FE DE GOIAS";2
"521930 SANTA HELENA DE GOIAS";1
"522000 SAO JOAO D'ALIANCA";2
"522015 SAO LUIZ DO NORTE";1
"522045 SENADOR CANEDO";1
"522060 SILVANIA";1
"522068 SIMOLANDIA";1
"522100 TAQUARAL DE GOIAS";2
"522108 TERESINA DE GOIAS";4
"522140 TRINDADE";6
"522155 TURVELANDIA";1
"522160 URUACU";6
"522185 VALPARAISO DE GOIAS";26
"522220 VILA BOA";1
"530010 BRASILIA";969
"Total";28311
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 - Os dados relativos ao Cadastro Nacional de Estabelecimentos de Saúde (CNES) exibidos no TABNET referem-se aos registros constantes no Banco de Dados Nacional do CNES com status ATIVO.
 - A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
