CNES - Recursos Físicos - Ambulatório - Consultórios - Brasil
Clínica Básica por Município
Período:Jul/2024
"Município";"Clínica_Básica"
"270800 SANTANA DO IPANEMA";33
"270810 SANTANA DO MUNDAU";6
"270820 SAO BRAS";9
"270830 SAO JOSE DA LAJE";4
"270840 SAO JOSE DA TAPERA";8
"270850 SAO LUIS DO QUITUNDE";14
"270860 SAO MIGUEL DOS CAMPOS";33
"270870 SAO MIGUEL DOS MILAGRES";7
"270880 SAO SEBASTIAO";42
"270890 SATUBA";19
"270895 SENADOR RUI PALMEIRA";5
"270900 TANQUE D'ARCA";5
"270910 TAQUARANA";25
"270915 TEOTONIO VILELA";26
"270920 TRAIPU";16
"270930 UNIAO DOS PALMARES";30
"270940 VICOSA";14
"280010 AMPARO DE SAO FRANCISCO";3
"280020 AQUIDABA";4
"280030 ARACAJU";880
"280040 ARAUA";12
"280050 AREIA BRANCA";20
"280060 BARRA DOS COQUEIROS";28
"280067 BOQUIM";28
"280070 BREJO GRANDE";4
"280100 CAMPO DO BRITO";20
"280110 CANHOBA";10
"280120 CANINDE DE SAO FRANCISCO";16
"280130 CAPELA";28
"280140 CARIRA";11
"280150 CARMOPOLIS";8
"280160 CEDRO DE SAO JOAO";10
"280170 CRISTINAPOLIS";20
"280190 CUMBE";5
"280200 DIVINA PASTORA";3
"280210 ESTANCIA";48
"280220 FEIRA NOVA";6
"280230 FREI PAULO";31
"280240 GARARU";5
"280250 GENERAL MAYNARD";3
"280260 GRACHO CARDOSO";9
"280270 ILHA DAS FLORES";5
"280280 INDIAROBA";5
"280290 ITABAIANA";108
"280300 ITABAIANINHA";19
"280310 ITABI";8
"280320 ITAPORANGA D'AJUDA";42
"280330 JAPARATUBA";11
"280340 JAPOATA";9
"280350 LAGARTO";79
"280360 LARANJEIRAS";14
"280370 MACAMBIRA";15
"280380 MALHADA DOS BOIS";8
"280390 MALHADOR";7
"280400 MARUIM";2
"280410 MOITA BONITA";7
"280420 MONTE ALEGRE DE SERGIPE";7
"280430 MURIBECA";7
"280440 NEOPOLIS";30
"280445 NOSSA SENHORA APARECIDA";8
"280450 NOSSA SENHORA DA GLORIA";25
"280460 NOSSA SENHORA DAS DORES";22
"280470 NOSSA SENHORA DE LOURDES";3
"280480 NOSSA SENHORA DO SOCORRO";63
"280490 PACATUBA";13
"280500 PEDRA MOLE";5
"280510 PEDRINHAS";6
"280520 PINHAO";3
"280530 PIRAMBU";8
"280540 POCO REDONDO";5
"280550 POCO VERDE";19
"280560 PORTO DA FOLHA";17
"280570 PROPRIA";30
"280580 RIACHAO DO DANTAS";4
"280590 RIACHUELO";9
"280600 RIBEIROPOLIS";26
"280610 ROSARIO DO CATETE";5
"280620 SALGADO";7
"280630 SANTA LUZIA DO ITANHY";11
"280640 SANTANA DO SAO FRANCISCO";4
"280650 SANTA ROSA DE LIMA";3
"280660 SANTO AMARO DAS BROTAS";5
"280670 SAO CRISTOVAO";64
"280680 SAO DOMINGOS";7
"280690 SAO FRANCISCO";3
"280700 SAO MIGUEL DO ALEIXO";5
"280710 SIMAO DIAS";44
"280720 SIRIRI";12
"280730 TELHA";7
"280740 TOBIAS BARRETO";50
"280750 TOMAR DO GERU";8
"280760 UMBAUBA";9
"290010 ABAIRA";14
"290020 ABARE";10
"290030 ACAJUTIBA";13
"290035 ADUSTINA";14
"290040 AGUA FRIA";13
"290050 ERICO CARDOSO";13
"290060 AIQUARA";1
"290070 ALAGOINHAS";101
"290080 ALCOBACA";13
"290090 ALMADINA";4
"290100 AMARGOSA";2
"290110 AMELIA RODRIGUES";11
"290115 AMERICA DOURADA";11
"290120 ANAGE";13
"290130 ANDARAI";10
"290135 ANDORINHA";18
"290140 ANGICAL";9
"290150 ANGUERA";11
"290160 ANTAS";8
"290170 ANTONIO CARDOSO";3
"290180 ANTONIO GONCALVES";9
"290190 APORA";5
"290195 APUAREMA";4
"290200 ARACATU";11
"290205 ARACAS";9
"290210 ARACI";33
"290220 ARAMARI";8
"290225 ARATACA";7
"290230 ARATUIPE";6
"290240 AURELINO LEAL";12
"290250 BAIANOPOLIS";9
"290260 BAIXA GRANDE";13
"290265 BANZAE";15
"290270 BARRA";23
"290280 BARRA DA ESTIVA";13
"290290 BARRA DO CHOCA";27
"290300 BARRA DO MENDES";10
"290310 BARRA DO ROCHA";7
"290320 BARREIRAS";152
"290323 BARRO ALTO";8
"290327 BARROCAS";23
"290330 BARRO PRETO";6
"290340 BELMONTE";23
"290350 BELO CAMPO";11
"290360 BIRITINGA";12
"290370 BOA NOVA";2
"290380 BOA VISTA DO TUPIM";15
"290390 BOM JESUS DA LAPA";65
"290395 BOM JESUS DA SERRA";5
"290400 BONINAL";4
"290405 BONITO";16
"290410 BOQUIRA";26
"290420 BOTUPORA";24
"290430 BREJOES";9
"290440 BREJOLANDIA";6
"290450 BROTAS DE MACAUBAS";13
"290460 BRUMADO";50
"290470 BUERAREMA";5
"290475 BURITIRAMA";11
"290480 CAATIBA";1
"290485 CABACEIRAS DO PARAGUACU";20
"290490 CACHOEIRA";37
"290500 CACULE";26
"290510 CAEM";2
"290515 CAETANOS";14
"290520 CAETITE";60
"290530 CAFARNAUM";13
"290540 CAIRU";18
"290550 CALDEIRAO GRANDE";5
"290560 CAMACAN";15
"290570 CAMACARI";325
"290580 CAMAMU";35
"290590 CAMPO ALEGRE DE LOURDES";18
"290600 CAMPO FORMOSO";37
"290610 CANAPOLIS";14
"290620 CANARANA";15
"290630 CANAVIEIRAS";15
"290640 CANDEAL";4
"290650 CANDEIAS";74
"290660 CANDIBA";17
"290670 CANDIDO SALES";12
"290680 CANSANCAO";38
"290682 CANUDOS";8
"290685 CAPELA DO ALTO ALEGRE";8
"290687 CAPIM GROSSO";43
"290689 CARAIBAS";6
"290690 CARAVELAS";21
"290700 CARDEAL DA SILVA";8
"290710 CARINHANHA";17
"290720 CASA NOVA";41
"290730 CASTRO ALVES";30
"290740 CATOLANDIA";2
"290750 CATU";34
"290755 CATURAMA";6
"290760 CENTRAL";11
"290770 CHORROCHO";47
"290780 CICERO DANTAS";27
"290790 CIPO";14
"290800 COARACI";18
"290810 COCOS";1
"290820 CONCEICAO DA FEIRA";11
"290830 CONCEICAO DO ALMEIDA";21
"290840 CONCEICAO DO COITE";62
"290850 CONCEICAO DO JACUIPE";31
"290860 CONDE";23
"290870 CONDEUBA";15
"290880 CONTENDAS DO SINCORA";4
"290890 CORACAO DE MARIA";17
"290900 CORDEIROS";6
"290910 CORIBE";9
"290920 CORONEL JOAO SA";19
"290930 CORRENTINA";22
"290940 COTEGIPE";7
"290950 CRAVOLANDIA";4
"290960 CRISOPOLIS";15
"290970 CRISTOPOLIS";9
"290980 CRUZ DAS ALMAS";59
"290990 CURACA";13
"291000 DARIO MEIRA";6
"291005 DIAS D'AVILA";34
"291010 DOM BASILIO";17
"291020 DOM MACEDO COSTA";2
"291030 ELISIO MEDRADO";30
"291040 ENCRUZILHADA";12
"291050 ENTRE RIOS";30
"291060 ESPLANADA";53
"291070 EUCLIDES DA CUNHA";28
"291072 EUNAPOLIS";107
"291075 FATIMA";3
"291077 FEIRA DA MATA";4
"291080 FEIRA DE SANTANA";609
"291085 FILADELFIA";13
"291090 FIRMINO ALVES";2
"291100 FLORESTA AZUL";9
"291110 FORMOSA DO RIO PRETO";9
"291120 GANDU";67
"291125 GAVIAO";6
"291130 GENTIO DO OURO";7
"291140 GLORIA";20
"291150 GONGOGI";2
"291160 GOVERNADOR MANGABEIRA";17
"291165 GUAJERU";14
"291170 GUANAMBI";76
"291180 GUARATINGA";5
"291185 HELIOPOLIS";11
"291190 IACU";19
"291200 IBIASSUCE";13
"291210 IBICARAI";9
"291220 IBICOARA";13
"291230 IBICUI";2
"291240 IBIPEBA";6
"291250 IBIPITANGA";16
"291260 IBIQUERA";2
"291270 IBIRAPITANGA";12
"291280 IBIRAPUA";13
"291290 IBIRATAIA";12
"291300 IBITIARA";15
"291310 IBITITA";8
"291320 IBOTIRAMA";38
"291330 ICHU";7
"291340 IGAPORA";19
"291345 IGRAPIUNA";9
"291350 IGUAI";2
"291360 ILHEUS";207
"291370 INHAMBUPE";15
"291380 IPECAETA";8
"291390 IPIAU";25
"291400 IPIRA";28
"291410 IPUPIARA";14
"291420 IRAJUBA";5
"291430 IRAMAIA";9
"291440 IRAQUARA";11
"291450 IRARA";33
"291460 IRECE";56
"291465 ITABELA";62
"291470 ITABERABA";74
"291480 ITABUNA";110
"291490 ITACARE";31
"291500 ITAETE";4
"291510 ITAGI";8
"291520 ITAGIBA";5
"291530 ITAGIMIRIM";7
"291535 ITAGUACU DA BAHIA";12
"291540 ITAJU DO COLONIA";5
"291550 ITAJUIPE";17
"291560 ITAMARAJU";100
"291570 ITAMARI";2
"291580 ITAMBE";15
"291590 ITANAGRA";9
"291600 ITANHEM";15
"291610 ITAPARICA";10
"291620 ITAPE";11
"291630 ITAPEBI";11
"291640 ITAPETINGA";17
"291650 ITAPICURU";21
"291660 ITAPITANGA";5
"291680 ITARANTIM";6
"291685 ITATIM";8
"291690 ITIRUCU";7
"291700 ITIUBA";15
"291710 ITORORO";12
"291720 ITUACU";8
"291730 ITUBERA";25
"291733 IUIU";5
"291735 JABORANDI";10
"291740 JACARACI";16
"291750 JACOBINA";114
"291760 JAGUAQUARA";40
"291770 JAGUARARI";16
"291780 JAGUARIPE";12
"291790 JANDAIRA";10
"291800 JEQUIE";152
"291810 JEREMOABO";44
"291820 JIQUIRICA";10
"291830 JITAUNA";11
"291835 JOAO DOURADO";14
"291840 JUAZEIRO";147
"291845 JUCURUCU";6
"291850 JUSSARA";12
"291855 JUSSARI";1
"291860 JUSSIAPE";3
"291870 LAFAIETE COUTINHO";2
"291875 LAGOA REAL";10
"291880 LAJE";18
"291890 LAJEDAO";5
"291900 LAJEDINHO";2
"291905 LAJEDO DO TABOCAL";5
"291910 LAMARAO";11
"291915 LAPAO";9
"291920 LAURO DE FREITAS";81
"291930 LENCOIS";6
"291940 LICINIO DE ALMEIDA";19
"291950 LIVRAMENTO DE NOSSA SENHORA";56
"291955 LUIS EDUARDO MAGALHAES";93
"291960 MACAJUBA";8
"291970 MACARANI";10
"291980 MACAUBAS";47
"291990 MACURURE";9
"291992 MADRE DE DEUS";13
"291995 MAETINGA";10
"292000 MAIQUINIQUE";8
"292010 MAIRI";10
"292020 MALHADA";9
"292030 MALHADA DE PEDRAS";9
"292040 MANOEL VITORINO";1
"292045 MANSIDAO";8
"292050 MARACAS";32
"292060 MARAGOGIPE";24
"292070 MARAU";13
"292080 MARCIONILIO SOUZA";8
"292090 MASCOTE";1
"292100 MATA DE SAO JOAO";29
"292105 MATINA";7
"292110 MEDEIROS NETO";30
"292120 MIGUEL CALMON";21
"292130 MILAGRES";18
"292140 MIRANGABA";12
"292145 MIRANTE";8
"292150 MONTE SANTO";33
"292160 MORPARA";14
"292170 MORRO DO CHAPEU";52
"292180 MORTUGABA";21
"292190 MUCUGE";21
"292200 MUCURI";34
"292205 MULUNGU DO MORRO";10
"292210 MUNDO NOVO";6
"292220 MUNIZ FERREIRA";10
"292225 MUQUEM DE SAO FRANCISCO";5
"292230 MURITIBA";16
"292240 MUTUIPE";11
"292250 NAZARE";35
"292260 NILO PECANHA";10
"292265 NORDESTINA";11
"292270 NOVA CANAA";11
"292273 NOVA FATIMA";7
"292275 NOVA IBIA";8
"292280 NOVA ITARANA";5
"292285 NOVA REDENCAO";6
"292290 NOVA SOURE";16
"292300 NOVA VICOSA";21
"292303 NOVO HORIZONTE";9
"292305 NOVO TRIUNFO";9
"292310 OLINDINA";14
"292320 OLIVEIRA DOS BREJINHOS";19
"292330 OURICANGAS";8
"292335 OUROLANDIA";13
"292340 PALMAS DE MONTE ALTO";11
"292350 PALMEIRAS";1
"292360 PARAMIRIM";38
"292370 PARATINGA";25
"292380 PARIPIRANGA";27
"292390 PAU BRASIL";5
"292400 PAULO AFONSO";74
"292405 PE DE SERRA";16
"292410 PEDRAO";5
"292420 PEDRO ALEXANDRE";12
"292430 PIATA";9
"292440 PILAO ARCADO";21
"292450 PINDAI";10
"292460 PINDOBACU";5
"292465 PINTADAS";9
"292467 PIRAI DO NORTE";2
"292470 PIRIPA";13
"292480 PIRITIBA";17
"292490 PLANALTINO";9
"292500 PLANALTO";26
"292510 POCOES";54
"292520 POJUCA";42
"292525 PONTO NOVO";13
"292530 PORTO SEGURO";153
"292540 POTIRAGUA";1
"292550 PRADO";14
"292560 PRESIDENTE DUTRA";7
"292570 PRESIDENTE JANIO QUADROS";12
"292575 PRESIDENTE TANCREDO NEVES";19
"292580 QUEIMADAS";14
"292590 QUIJINGUE";18
"292593 QUIXABEIRA";11
"292595 RAFAEL JAMBEIRO";29
"292600 REMANSO";21
"292610 RETIROLANDIA";20
"292620 RIACHAO DAS NEVES";16
"292630 RIACHAO DO JACUIPE";19
"292640 RIACHO DE SANTANA";23
"292650 RIBEIRA DO AMPARO";9
"292660 RIBEIRA DO POMBAL";26
"292665 RIBEIRAO DO LARGO";5
"292670 RIO DE CONTAS";5
"292680 RIO DO ANTONIO";6
"292690 RIO DO PIRES";7
"292700 RIO REAL";29
"292710 RODELAS";7
"292720 RUY BARBOSA";27
"292730 SALINAS DA MARGARIDA";7
"292740 SALVADOR";1709
"292750 SANTA BARBARA";15
"292760 SANTA BRIGIDA";14
"292770 SANTA CRUZ CABRALIA";18
"292780 SANTA CRUZ DA VITORIA";4
"292790 SANTA INES";14
"292800 SANTALUZ";58
"292805 SANTA LUZIA";6
"292810 SANTA MARIA DA VITORIA";21
"292820 SANTANA";16
"292830 SANTANOPOLIS";3
"292840 SANTA RITA DE CASSIA";4
"292850 SANTA TERESINHA";11
"292860 SANTO AMARO";36
"292870 SANTO ANTONIO DE JESUS";102
"292880 SANTO ESTEVAO";41
"292890 SAO DESIDERIO";24
"292895 SAO DOMINGOS";19
"292900 SAO FELIX";13
"292905 SAO FELIX DO CORIBE";8
"292910 SAO FELIPE";23
"292920 SAO FRANCISCO DO CONDE";40
"292925 SAO GABRIEL";11
"292930 SAO GONCALO DOS CAMPOS";17
"292935 SAO JOSE DA VITORIA";5
"292937 SAO JOSE DO JACUIPE";2
"292940 SAO MIGUEL DAS MATAS";15
"292950 SAO SEBASTIAO DO PASSE";34
"292960 SAPEACU";17
"292970 SATIRO DIAS";19
"292975 SAUBARA";6
"292980 SAUDE";3
"292990 SEABRA";46
"293000 SEBASTIAO LARANJEIRAS";6
"293010 SENHOR DO BONFIM";70
"293015 SERRA DO RAMALHO";16
"293020 SENTO SE";14
"293030 SERRA DOURADA";18
"293040 SERRA PRETA";6
"293050 SERRINHA";105
"293060 SERROLANDIA";12
"293070 SIMOES FILHO";96
"293075 SITIO DO MATO";6
"293076 SITIO DO QUINTO";10
"293077 SOBRADINHO";16
"293080 SOUTO SOARES";9
"293090 TABOCAS DO BREJO VELHO";7
"293100 TANHACU";9
"293105 TANQUE NOVO";27
"293110 TANQUINHO";5
"293120 TAPEROA";17
"293130 TAPIRAMUTA";4
"293135 TEIXEIRA DE FREITAS";136
"293140 TEODORO SAMPAIO";9
"293150 TEOFILANDIA";18
"293160 TEOLANDIA";15
"293170 TERRA NOVA";4
"293180 TREMEDAL";11
"293190 TUCANO";42
"293200 UAUA";26
"293210 UBAIRA";22
"293220 UBAITABA";14
"293230 UBATA";8
"293240 UIBAI";20
"293245 UMBURANAS";14
"293250 UNA";18
"293260 URANDI";5
"293270 URUCUCA";9
"293280 UTINGA";11
"293290 VALENCA";102
"293300 VALENTE";22
"293305 VARZEA DA ROCA";9
"293310 VARZEA DO POCO";3
"293315 VARZEA NOVA";11
"293317 VARZEDO";7
"293320 VERA CRUZ";25
"293325 VEREDA";8
"293330 VITORIA DA CONQUISTA";135
"293340 WAGNER";16
"293345 WANDERLEY";7
"293350 WENCESLAU GUIMARAES";24
"293360 XIQUE-XIQUE";28
"310010 ABADIA DOS DOURADOS";4
"310020 ABAETE";41
"310030 ABRE CAMPO";13
"310040 ACAIACA";3
"310050 ACUCENA";1
"310060 AGUA BOA";7
"310080 AGUANIL";9
"310090 AGUAS FORMOSAS";7
"310100 AGUAS VERMELHAS";10
"310110 AIMORES";33
"310120 AIURUOCA";12
"310130 ALAGOA";3
"310150 ALEM PARAIBA";78
"310160 ALFENAS";122
"310163 ALFREDO VASCONCELOS";7
"310170 ALMENARA";49
"310180 ALPERCATA";3
"310190 ALPINOPOLIS";9
"310200 ALTEROSA";15
"310205 ALTO CAPARAO";5
"310210 ALTO RIO DOCE";13
"310220 ALVARENGA";4
"310230 ALVINOPOLIS";12
"310240 ALVORADA DE MINAS";6
"310250 AMPARO DO SERRA";5
"310260 ANDRADAS";38
"310270 CACHOEIRA DE PAJEU";6
"310280 ANDRELANDIA";16
"310285 ANGELANDIA";2
"310290 ANTONIO CARLOS";7
"310300 ANTONIO DIAS";6
"310310 ANTONIO PRADO DE MINAS";3
"310320 ARACAI";1
"310330 ARACITABA";1
"310340 ARACUAI";35
"310350 ARAGUARI";116
"310360 ARANTINA";4
"310370 ARAPONGA";4
"310375 ARAPORA";9
"310380 ARAPUA";3
"310390 ARAUJOS";8
"310400 ARAXA";126
"310410 ARCEBURGO";3
"310420 ARCOS";29
"310430 AREADO";18
"310440 ARGIRITA";2
"310445 ARICANDUVA";3
"310450 ARINOS";27
"310460 ASTOLFO DUTRA";16
"310470 ATALEIA";1
"310480 AUGUSTO DE LIMA";3
"310490 BAEPENDI";48
"310500 BALDIM";1
"310510 BAMBUI";35
"310520 BANDEIRA";3
"310530 BANDEIRA DO SUL";3
"310540 BARAO DE COCAIS";92
"310550 BARAO DE MONTE ALTO";4
"310560 BARBACENA";224
"310590 BARROSO";15
"310600 BELA VISTA DE MINAS";5
"310610 BELMIRO BRAGA";6
"310620 BELO HORIZONTE";3208
"310630 BELO ORIENTE";20
"310640 BELO VALE";3
"310650 BERILO";5
"310660 BERTOPOLIS";2
"310665 BERIZAL";3
"310670 BETIM";316
"310680 BIAS FORTES";6
"310690 BICAS";18
"310700 BIQUINHAS";2
"310710 BOA ESPERANCA";112
"310720 BOCAINA DE MINAS";3
"310730 BOCAIUVA";65
"310740 BOM DESPACHO";116
"310750 BOM JARDIM DE MINAS";13
"310760 BOM JESUS DA PENHA";2
"310780 BOM JESUS DO GALHO";8
"310790 BOM REPOUSO";10
"310800 BOM SUCESSO";11
"310810 BONFIM";7
"310820 BONFINOPOLIS DE MINAS";9
"310825 BONITO DE MINAS";28
"310830 BORDA DA MATA";14
"310840 BOTELHOS";17
"310850 BOTUMIRIM";6
"310855 BRASILANDIA DE MINAS";14
"310860 BRASILIA DE MINAS";26
"310870 BRAS PIRES";15
"310880 BRAUNAS";1
"310890 BRAZOPOLIS";14
"310900 BRUMADINHO";46
"310910 BUENO BRANDAO";9
"310920 BUENOPOLIS";6
"310925 BUGRE";7
"310930 BURITIS";27
"310940 BURITIZEIRO";19
"310950 CABO VERDE";14
"310960 CACHOEIRA DA PRATA";2
"310970 CACHOEIRA DE MINAS";8
"310980 CACHOEIRA DOURADA";3
"311000 CAETE";6
"311010 CAIANA";9
"311020 CAJURI";3
"311030 CALDAS";11
"311040 CAMACHO";3
"311050 CAMANDUCAIA";30
"311060 CAMBUI";86
"311070 CAMBUQUIRA";14
"311080 CAMPANARIO";2
"311090 CAMPANHA";131
"311100 CAMPESTRE";16
"311110 CAMPINA VERDE";37
"311115 CAMPO AZUL";3
"311120 CAMPO BELO";127
"311130 CAMPO DO MEIO";2
"311140 CAMPO FLORIDO";3
"311150 CAMPOS ALTOS";13
"311160 CAMPOS GERAIS";30
"311170 CANAA";5
"311180 CANAPOLIS";13
"311190 CANA VERDE";5
"311200 CANDEIAS";19
"311205 CANTAGALO";3
"311210 CAPARAO";3
"311220 CAPELA NOVA";5
"311230 CAPELINHA";113
"311240 CAPETINGA";2
"311260 CAPINOPOLIS";9
"311265 CAPITAO ANDRADE";6
"311270 CAPITAO ENEAS";14
"311280 CAPITOLIO";2
"311290 CAPUTIRA";8
"311310 CARANAIBA";6
"311320 CARANDAI";37
"311330 CARANGOLA";68
"311340 CARATINGA";215
"311350 CARBONITA";2
"311360 CAREACU";7
"311370 CARLOS CHAGAS";13
"311380 CARMESIA";2
"311390 CARMO DA CACHOEIRA";8
"311400 CARMO DA MATA";9
"311410 CARMO DE MINAS";11
"311420 CARMO DO CAJURU";32
"311430 CARMO DO PARANAIBA";24
"311440 CARMO DO RIO CLARO";29
"311450 CARMOPOLIS DE MINAS";21
"311455 CARNEIRINHO";2
"311460 CARRANCAS";6
"311470 CARVALHOPOLIS";5
"311480 CARVALHOS";2
"311490 CASA GRANDE";3
"311500 CASCALHO RICO";2
"311510 CASSIA";16
"311530 CATAGUASES";198
"311535 CATAS ALTAS";2
"311540 CATAS ALTAS DA NORUEGA";1
"311545 CATUJI";3
"311547 CATUTI";6
"311550 CAXAMBU";55
"311560 CEDRO DO ABAETE";2
"311570 CENTRAL DE MINAS";5
"311580 CENTRALINA";4
"311590 CHACARA";5
"311600 CHALE";8
"311610 CHAPADA DO NORTE";3
"311615 CHAPADA GAUCHA";10
"311620 CHIADOR";3
"311630 CIPOTANEA";1
"311640 CLARAVAL";8
"311650 CLARO DOS POCOES";7
"311660 CLAUDIO";50
"311670 COIMBRA";6
"311680 COLUNA";8
"311690 COMENDADOR GOMES";2
"311700 COMERCINHO";5
"311710 CONCEICAO DA APARECIDA";9
"311720 CONCEICAO DAS PEDRAS";2
"311730 CONCEICAO DAS ALAGOAS";35
"311740 CONCEICAO DE IPANEMA";3
"311750 CONCEICAO DO MATO DENTRO";53
"311760 CONCEICAO DO PARA";5
"311770 CONCEICAO DO RIO VERDE";20
"311780 CONCEICAO DOS OUROS";13
"311783 CONEGO MARINHO";5
"311787 CONFINS";11
"311790 CONGONHAL";19
"311800 CONGONHAS";50
"311820 CONQUISTA";2
"311830 CONSELHEIRO LAFAIETE";82
"311840 CONSELHEIRO PENA";29
"311850 CONSOLACAO";1
"311860 CONTAGEM";767
"311870 COQUEIRAL";10
"311880 CORACAO DE JESUS";19
"311890 CORDISBURGO";3
"311900 CORDISLANDIA";2
"311910 CORINTO";24
"311920 COROACI";6
"311930 COROMANDEL";60
"311940 CORONEL FABRICIANO";111
"311950 CORONEL MURTA";4
"311960 CORONEL PACHECO";3
"311980 CORREGO DANTA";1
"311990 CORREGO DO BOM JESUS";3
"311995 CORREGO FUNDO";4
"312000 CORREGO NOVO";2
"312010 COUTO DE MAGALHAES DE MINAS";4
"312015 CRISOLITA";2
"312020 CRISTAIS";5
"312030 CRISTALIA";4
"312040 CRISTIANO OTONI";4
"312050 CRISTINA";13
"312060 CRUCILANDIA";3
"312080 CRUZILIA";28
"312083 CUPARAQUE";15
"312087 CURRAL DE DENTRO";6
"312090 CURVELO";92
"312100 DATAS";5
"312110 DELFIM MOREIRA";7
"312120 DELFINOPOLIS";13
"312125 DELTA";4
"312130 DESCOBERTO";6
"312140 DESTERRO DE ENTRE RIOS";3
"312150 DESTERRO DO MELO";3
"312160 DIAMANTINA";66
"312170 DIOGO DE VASCONCELOS";3
"312190 DIVINESIA";4
"312200 DIVINO";34
"312210 DIVINO DAS LARANJEIRAS";2
"312220 DIVINOLANDIA DE MINAS";9
"312230 DIVINOPOLIS";312
"312235 DIVISA ALEGRE";7
"312240 DIVISA NOVA";6
"312245 DIVISOPOLIS";7
"312247 DOM BOSCO";4
"312250 DOM CAVATI";9
"312260 DOM JOAQUIM";1
"312270 DOM SILVERIO";9
"312280 DOM VICOSO";5
"312290 DONA EUSEBIA";4
"312300 DORES DE CAMPOS";7
"312320 DORES DO INDAIA";7
"312330 DORES DO TURVO";4
"312340 DORESOPOLIS";3
"312350 DOURADOQUARA";2
"312352 DURANDE";4
"312360 ELOI MENDES";43
"312370 ENGENHEIRO CALDAS";27
"312380 ENGENHEIRO NAVARRO";7
"312385 ENTRE FOLHAS";3
"312390 ENTRE RIOS DE MINAS";4
"312400 ERVALIA";17
"312410 ESMERALDAS";23
"312420 ESPERA FELIZ";20
"312430 ESPINOSA";57
"312440 ESPIRITO SANTO DO DOURADO";1
"312450 ESTIVA";5
"312460 ESTRELA DALVA";3
"312470 ESTRELA DO INDAIA";2
"312480 ESTRELA DO SUL";4
"312490 EUGENOPOLIS";4
"312500 EWBANK DA CAMARA";6
"312510 EXTREMA";48
"312530 FARIA LEMOS";7
"312540 FELICIO DOS SANTOS";2
"312550 SAO GONCALO DO RIO PRETO";1
"312560 FELISBURGO";7
"312570 FELIXLANDIA";13
"312580 FERNANDES TOURINHO";2
"312590 FERROS";13
"312595 FERVEDOURO";11
"312600 FLORESTAL";6
"312610 FORMIGA";48
"312620 FORMOSO";5
"312630 FORTALEZA DE MINAS";3
"312640 FORTUNA DE MINAS";1
"312650 FRANCISCO BADARO";10
"312660 FRANCISCO DUMONT";5
"312670 FRANCISCO SA";31
"312675 FRANCISCOPOLIS";4
"312680 FREI GASPAR";4
"312690 FREI INOCENCIO";8
"312695 FREI LAGONEGRO";1
"312700 FRONTEIRA";4
"312705 FRONTEIRA DOS VALES";1
"312707 FRUTA DE LEITE";4
"312710 FRUTAL";40
"312720 FUNILANDIA";8
"312730 GALILEIA";6
"312733 GAMELEIRAS";5
"312735 GLAUCILANDIA";4
"312737 GOIABEIRA";1
"312738 GOIANA";5
"312740 GONCALVES";3
"312750 GONZAGA";3
"312760 GOUVEIA";10
"312770 GOVERNADOR VALADARES";486
"312780 GRAO MOGOL";10
"312790 GRUPIARA";3
"312800 GUANHAES";49
"312810 GUAPE";3
"312820 GUARACIABA";3
"312825 GUARACIAMA";3
"312830 GUARANESIA";15
"312840 GUARANI";6
"312850 GUARARA";4
"312860 GUARDA-MOR";9
"312870 GUAXUPE";166
"312880 GUIDOVAL";4
"312890 GUIMARANIA";10
"312900 GUIRICEMA";3
"312910 GURINHATA";4
"312920 HELIODORA";6
"312930 IAPU";7
"312940 IBERTIOGA";14
"312950 IBIA";34
"312960 IBIAI";4
"312965 IBIRACATU";3
"312970 IBIRACI";6
"312980 IBIRITE";116
"312990 IBITIURA DE MINAS";4
"313000 IBITURUNA";2
"313005 ICARAI DE MINAS";8
"313010 IGARAPE";25
"313020 IGARATINGA";7
"313030 IGUATAMA";2
"313040 IJACI";5
"313050 ILICINEA";9
"313055 IMBE DE MINAS";5
"313060 INCONFIDENTES";2
"313065 INDAIABIRA";13
"313070 INDIANOPOLIS";7
"313080 INGAI";3
"313090 INHAPIM";9
"313100 INHAUMA";6
"313110 INIMUTABA";3
"313115 IPABA";8
"313120 IPANEMA";26
"313130 IPATINGA";394
"313140 IPIACU";4
"313150 IPUIUNA";13
"313160 IRAI DE MINAS";1
"313170 ITABIRA";163
"313180 ITABIRINHA";8
"313190 ITABIRITO";77
"313200 ITACAMBIRA";8
"313210 ITACARAMBI";28
"313220 ITAGUARA";7
"313240 ITAJUBA";343
"313250 ITAMARANDIBA";42
"313260 ITAMARATI DE MINAS";6
"313270 ITAMBACURI";26
"313280 ITAMBE DO MATO DENTRO";1
"313290 ITAMOGI";12
"313300 ITAMONTE";31
"313310 ITANHANDU";39
"313320 ITANHOMI";14
"313330 ITAOBIM";44
"313340 ITAPAGIPE";22
"313350 ITAPECERICA";37
"313360 ITAPEVA";8
"313370 ITATIAIUCU";12
"313375 ITAU DE MINAS";13
"313380 ITAUNA";155
"313390 ITAVERAVA";1
"313400 ITINGA";14
"313410 ITUETA";4
"313420 ITUIUTABA";115
"313430 ITUMIRIM";8
"313440 ITURAMA";24
"313450 ITUTINGA";1
"313460 JABOTICATUBAS";21
"313470 JACINTO";8
"313480 JACUI";13
"313490 JACUTINGA";20
"313500 JAGUARACU";1
"313505 JAIBA";32
"313507 JAMPRUCA";2
"313510 JANAUBA";139
"313520 JANUARIA";56
